spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,file_name,label
2513.189117143652,836203.112793178,2384.038250052253,285663.04238677834,5047.475978704868,3215228.800867744,0.1201133193365326,0.004916113066137748,[161.49902344],-28.039577,7774.079,75.67561,1353.9872,-21.569935,926.3209,16.352852,405.3024,1.4294072,283.60764,8.332787,352.1156,-2.5767026,200.89061,4.6698914,187.11938,1.6762192,225.66083,7.8996644,172.12538,0.6246722,165.52689,4.3138394,134.98033,-2.1371562,165.23878,4.2392807,170.23677,0.25041205,157.13191,2.51351,153.46255,-1.0478797,130.96349,0.68821293,99.3731,1.1976851,129.12177,008. GOT the beat - Step Back.mp3,
2636.175903131514,1198752.5869161203,2532.0491114269203,482961.0567798421,5511.652539411896,4891068.233550462,0.11915915219553244,0.0042929474194430845,[151.99908088],-63.896866,10385.763,77.2257,1327.8896,0.0017654625,662.9552,12.18466,342.40796,2.1103902,292.51465,3.8588545,185.00804,-4.269731,181.0394,0.35886997,172.15776,-9.434587,159.78462,0.29006854,137.17455,-5.1235337,127.40028,1.4204621,104.85162,-8.130003,124.21493,0.03293093,105.0201,-6.4139957,96.66638,-5.582878,120.66962,-9.285851,93.68048,-2.602258,102.19629,-8.353918,103.729485,"009 쿤타(Koonta) - 깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL).mp3",
2911.635237828496,1544782.5291542266,3014.1475092493897,726162.4090889458,6794.885108646654,7636259.5053703245,0.11559892433492423,0.006646556483735497,[135.99917763],-106.86612,17164.574,80.64499,1443.0112,31.13585,433.0149,17.041185,264.05856,11.779728,138.03548,1.5608149,149.54073,9.684473,149.58865,-6.7693033,165.78722,6.7130604,158.05623,6.637568,118.348465,-9.235992,135.3475,5.051521,98.22466,-5.341428,99.187256,1.4657122,118.87272,1.9586571,105.05869,2.858727,76.48103,-6.5246468,125.95216,0.8435532,83.40251,-5.113161,87.839775,"009. 휘인 (Whee In) - 너, 너 (N번째 연애 X 휘인 (Whee In)).mp3",
2190.582427572088,531928.4984530447,2424.6359230420694,171580.92137952786,4706.493467488125,2369289.2628781116,0.09259088277960197,0.002202360593009544,[95.703125],-42.647682,7493.5923,92.89764,799.0392,-1.9657241,370.69916,25.719181,259.79678,8.563304,195.14445,8.985403,144.10294,-2.392455,107.088684,8.460195,84.0293,-4.231044,92.87799,5.0000687,67.10039,0.7838296,67.51376,-1.3449445,70.285904,-1.9202771,60.200047,-0.91506255,66.51725,-4.893054,59.854176,-2.398711,60.179592,-6.827085,63.897278,0.20366165,71.393745,-5.745561,100.63459,010 이무진 - 신호등.mp3,
3062.912716066555,845172.0861804235,2893.869367346939,296444.88373978087,6652.164019483657,3511703.4081947724,0.12921135223507163,0.004163790611907157,[151.99908088],-9.999124,10188.195,62.64207,831.2642,-0.12382058,663.05896,13.846384,288.56046,5.291497,232.47205,9.329656,194.44072,11.027752,127.05445,6.3157587,119.646935,6.357582,124.83627,5.2957625,94.68857,-3.0082562,87.25319,4.9255695,82.814804,-2.9231668,64.13812,3.6203048,78.25832,-1.5971006,74.266685,3.0606863,75.94585,-3.7561212,78.69576,0.33972257,80.51398,-2.3897972,68.08993,010. YENA (최예나) - SMILEY (Feat. BIBI).mp3,
2455.142803563022,1298153.9559392682,2512.9020206491505,689869.8990805271,5389.225232437224,5868538.057063212,0.09874640903835134,0.005193318755876702,[172.265625],-68.69677,12775.624,83.6947,2257.696,5.32514,403.70523,8.357317,565.04456,4.3568015,286.01587,2.5272985,291.66968,-1.635408,197.16646,2.3984356,165.91122,-6.704053,173.55428,5.0312653,172.86649,-1.4523534,141.18451,-1.5427976,100.81375,-2.7284756,79.44409,1.4965475,85.47499,-0.6089449,72.706566,-0.24605528,90.21994,-0.5899224,94.680214,4.497226,78.863174,-6.200461,76.63124,011 The Kid LAROI & Justin Bieber - Stay.mp3,
2566.3951369199353,692052.1508223417,2706.616748190699,261992.96106100077,5796.83316307447,3590721.9767905534,0.10833183364385728,0.0032619554050525644,[143.5546875],-34.770805,9881.841,79.9906,682.3392,3.3122237,323.8035,15.736309,319.87244,8.950432,193.90933,2.9639623,147.30653,0.47338971,118.77036,5.601076,106.428986,-4.2211375,122.020775,3.8077638,111.94575,-5.72534,78.59494,-3.055887,110.81266,-5.850515,110.71015,-0.9737055,107.81158,-5.1559706,114.711334,-2.4973652,107.982124,-4.659483,135.76663,0.9080515,132.02245,-3.4972987,148.41513,"011. 경서예지, 전건호 - 다정히 내 이름을 부르면.mp3",
2566.3262400644426,692019.7988778568,2706.554724862967,262027.34118256622,5796.595418184,3591251.614786295,0.10831173976525645,0.0032608629649423814,[143.5546875],-34.76751,9882.22,79.995605,682.2437,3.31078,323.7274,15.73416,319.7451,8.95225,193.91591,2.9651318,147.34862,0.4750295,118.73306,5.5999002,106.41782,-4.2201047,122.02846,3.8078594,111.91919,-5.7291613,78.63898,-3.0535922,110.758194,-5.850645,110.72634,-0.97073036,107.828415,-5.156233,114.68821,-2.4962542,107.99462,-4.658343,135.76312,0.9118394,131.9394,-3.4960546,148.4224,012 경서예지 & 전건호 - 다정히 내 이름을 부르면.mp3,
2825.5608846873997,781932.082341884,2849.528643121356,231260.0522505916,6273.725351876858,3159949.5059926366,0.10998372851425822,0.004657416994383873,[112.34714674],-31.909464,8981.763,67.006676,970.54254,8.620687,658.04517,22.834772,287.10257,14.6578,175.84325,8.817499,208.49442,4.1000757,144.06398,8.739684,123.06002,0.08413947,102.41207,6.06122,95.694405,1.759254,91.23512,3.0666835,79.748245,-0.38136426,79.26425,4.6006064,63.40425,-0.48541284,70.97275,1.0325632,70.967735,-1.662975,77.80262,2.0575738,75.35202,-4.096476,71.51002,012 방탄소년단 (BTS) - Dynamite.mp3,
1981.0265342191697,864197.5834151357,2236.9508439754154,450517.1736195053,4234.456949695184,4099943.1229586275,0.08424495552844942,0.004086176851380081,[103.359375],-139.42848,13147.318,106.639626,1283.1018,8.14144,431.9522,12.586916,267.07703,-4.9220376,134.71959,2.4725554,122.68423,-5.864307,130.86757,-3.4335232,117.85124,-4.210057,103.74249,1.58173,99.17781,-0.27222675,107.29913,-2.2033198,90.382034,-4.77305,86.28051,-1.3084471,83.75854,-6.713227,71.6683,-0.6244583,62.124413,-6.4133534,93.10785,0.98303384,103.174675,-2.5176632,140.77246,012. 탑현 - 호랑수월가.mp3,
